Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
110021,9/25/2019,10:00:00 PM,42,CFTT1KD,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,9/27/2019,4:00:00 PM,GR,
110021,9/25/2019,10:00:00 PM,42,CFTKYNC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EBRS,9/27/2019,4:00:00 PM,GR,
110021,9/26/2019,4:00:00 PM,24,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,,9/27/2019,4:00:00 PM,GR,
110022,12/9/2019,2:00:00 PM,32,CFTKYGC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW C/S e,ACTIVE,CONF,JATINDRA DASH,,12/10/2019,10:00:00 PM,GR,HEMLOCK
110022,12/9/2019,2:00:00 PM,32,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,,12/10/2019,10:00:00 PM,GR,
110022,12/10/2019,10:00:00 PM,42,CFTKYDC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,12/12/2019,4:00:00 PM,GR,D
110022,12/10/2019,10:00:00 PM,42,CFTKYFC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,12/12/2019,4:00:00 PM,GR,HEMLOCK
110022,12/10/2019,10:00:00 PM,42,CFTKYGC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,12/12/2019,4:00:00 PM,GR,HEMLOCK
110022,12/10/2019,10:00:00 PM,42,CFTKYNC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EBRS,12/12/2019,4:00:00 PM,GR,
110022,12/10/2019,10:00:00 PM,42,CFTT1KD,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,12/12/2019,4:00:00 PM,GR,
110022,12/12/2019,4:00:00 PM,24,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,,12/13/2019,4:00:00 PM,GR,
110028,6/10/2019,8:00:00 AM,44,3762Q,TEST,BLD,,STATE OF SOUTH DAKOTA,ACTIVE,CONF,Muralidhar R Reddy,EBRS,6/12/2019,4:00:00 AM,GR,BRECKENRIDGE ENDUSER_26S
110028,6/10/2019,8:00:00 AM,44,CFT1CQR,OTHERSVC,BLD,,STATE OF SOUTH DAKOTA,ACTIVE,CONF,Muralidhar R Reddy,,6/12/2019,4:00:00 AM,GR,
110028,6/4/2019,8:00:00 AM,44,CFT1CQR,OTHERSVC,STF,,STATE OF SOUTH DAKOTA,CANCEL,CONF,Muralidhar R Reddy,,6/6/2019,4:00:00 AM,GR,
110028,6/10/2019,8:00:00 AM,44,CFT1CQR,OTHERSVC,STF,,STATE OF SOUTH DAKOTA,CANCEL,CONF,Muralidhar R Reddy,,6/12/2019,4:00:00 AM,GR,
110034,3/19/2019,8:00:00 AM,60,2F24906,TEST,RTP,,IGS ZSERIES SW SUPPT,CANCEL,PEND,Daljeet Singh,EXP,3/21/2019,8:00:00 PM,,CAPE_FEAR
110035,6/8/2019,8:00:00 AM,120,2F23901,TEST,STF,,IGA COAT POINT V400 LFMS,ACTIVE,CONF,Noor Mohammed,EXP,6/13/2019,8:00:00 AM,GR,B
110036,9/22/2019,4:00:00 PM,40,CFTJZ5C,SETUP,STF,,DELTA DENTAL OF NEW JERSEY INC Blade Set,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,9/24/2019,8:00:00 AM,GR,IRONWOOD
110036,9/24/2019,8:00:00 AM,72,CFT66HQ,OTHERSVC,STF,,DELTA DENTAL OF NEW JERSEY INC,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,9/27/2019,8:00:00 AM,GR,
110036,9/24/2019,8:00:00 AM,72,CFTDT0R,TEST,STF,IRU,DELTA DENTAL OF NEW JERSEY INC,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS ACD,9/27/2019,8:00:00 AM,GR,IRONWOOD JUNIPER
110036,9/24/2019,8:00:00 AM,72,CFTJZ5C,TEST,STF,IRU,DELTA DENTAL OF NEW JERSEY INC,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,9/27/2019,8:00:00 AM,GR,IRONWOOD JUNIPER
110039,6/25/2019,12:00:00 PM,36,CFTLJCQ,TEST,BLD,,UNIVERSITY OF ARKANSAS,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,6/27/2019,12:00:00 AM,GR,BRECKENRIDGE
110042,5/3/2019,9:00:00 AM,8,2G04506,TEST,STF,IRU,NATIONAL BANK OF KUWAIT,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS ACD,5/3/2019,5:00:00 PM,GR,ELM IRONWOOD JUNIPER
110043,5/4/2019,8:00:00 AM,8,2G04506,TEST,STF,IRU,NATIONAL BANK OF KUWAIT,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS ACD,5/4/2019,4:00:00 PM,GR,ELM IRONWOOD JUNIPER
110044,6/8/2019,8:00:00 AM,24,2K59801,TEST,STF,IRU,CTBC BANK CO LTD NEW YORK BRANCH,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS,6/9/2019,8:00:00 AM,GR,PINE
110045,5/6/2019,12:00:00 AM,32,CFT2J1C,SETUP,STF,,FARBEST-TALLMAN FOODS CORP DASD setup,ACTIVE,CONF,Virupaksheswara Ramapragada,,5/7/2019,8:00:00 AM,GR,
110045,5/7/2019,8:00:00 AM,24,CFT2J1C,TEST,STF,,FARBEST-TALLMAN FOODS CORP,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS,5/8/2019,8:00:00 AM,GR,FIR
110045,5/8/2019,8:00:00 AM,24,CFT2J1C,BREAKDWN,STF,,FARBEST-TALLMAN FOODS CORP DASD breakdow,ACTIVE,CONF,Virupaksheswara Ramapragada,,5/9/2019,8:00:00 AM,GR,
110046,5/14/2019,8:00:00 AM,48,CFT646Q,SETUP,STF,,MCS HEALTHCARE HOLDINGS LLC C/S setup,ACTIVE,CONF,Virupaksheswara Ramapragada,,5/16/2019,8:00:00 AM,GR,NECTARINE
110046,5/16/2019,8:00:00 AM,60,CFT646Q,TEST,STF,,MCS HEALTHCARE HOLDINGS LLC,ACTIVE,CONF,Virupaksheswara Ramapragada,,5/18/2019,8:00:00 PM,GR,NECTARINE
110046,5/16/2019,8:00:00 AM,60,CFTZ5YQ,RRTEST,STF,,MCS HEALTHCARE HOLDINGS LLC,ACTIVE,CONF,Virupaksheswara Ramapragada,,5/18/2019,8:00:00 PM,GR,
110046,5/16/2019,8:00:00 AM,60,CFT64GQ,TEST,STF,IRU,MCS HEALTHCARE HOLDINGS LLC,ACTIVE,CONF,Virupaksheswara Ramapragada,,5/18/2019,8:00:00 PM,GR,
110046,5/15/2019,4:00:00 AM,28,CFT646Q,SETUP,STF,,MCS HEALTHCARE HOLDINGS LLC C/S setup,CANCEL,CONF,Virupaksheswara Ramapragada,,5/16/2019,8:00:00 AM,GR,NECTARINE
110047,8/13/2019,2:00:00 PM,42,CFT646Q,SETUP,STF,,MCS HEALTHCARE HOLDINGS LLC C/S setup,ACTIVE,CONF,Virupaksheswara Ramapragada,,8/15/2019,8:00:00 AM,GR,NECTARINE
110047,8/15/2019,8:00:00 AM,60,CFT64GQ,TEST,STF,IRU,MCS HEALTHCARE HOLDINGS LLC,ACTIVE,CONF,Virupaksheswara Ramapragada,,8/17/2019,8:00:00 PM,GR,
